,image_path,filename,age,gender,race,age_bucket
50,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224402264.jpg.chip.jpg,10_0_0_20170110224402264.jpg.chip.jpg,10,0,0,08-Dec
51,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224406532.jpg.chip.jpg,10_0_0_20170110224406532.jpg.chip.jpg,10,0,0,08-Dec
52,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224416035.jpg.chip.jpg,10_0_0_20170110224416035.jpg.chip.jpg,10,0,0,08-Dec
53,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224500062.jpg.chip.jpg,10_0_0_20170110224500062.jpg.chip.jpg,10,0,0,08-Dec
54,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224524253.jpg.chip.jpg,10_0_0_20170110224524253.jpg.chip.jpg,10,0,0,08-Dec
55,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224549512.jpg.chip.jpg,10_0_0_20170110224549512.jpg.chip.jpg,10,0,0,08-Dec
56,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224725285.jpg.chip.jpg,10_0_0_20170110224725285.jpg.chip.jpg,10,0,0,08-Dec
57,C:\Users\henok\data\data\UTKFace\10_0_0_20170110224757882.jpg.chip.jpg,10_0_0_20170110224757882.jpg.chip.jpg,10,0,0,08-Dec
58,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225013755.jpg.chip.jpg,10_0_0_20170110225013755.jpg.chip.jpg,10,0,0,08-Dec
59,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225035898.jpg.chip.jpg,10_0_0_20170110225035898.jpg.chip.jpg,10,0,0,08-Dec
60,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225227587.jpg.chip.jpg,10_0_0_20170110225227587.jpg.chip.jpg,10,0,0,08-Dec
61,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225243501.jpg.chip.jpg,10_0_0_20170110225243501.jpg.chip.jpg,10,0,0,08-Dec
62,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225246490.jpg.chip.jpg,10_0_0_20170110225246490.jpg.chip.jpg,10,0,0,08-Dec
63,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225252799.jpg.chip.jpg,10_0_0_20170110225252799.jpg.chip.jpg,10,0,0,08-Dec
64,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225402690.jpg.chip.jpg,10_0_0_20170110225402690.jpg.chip.jpg,10,0,0,08-Dec
65,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225414790.jpg.chip.jpg,10_0_0_20170110225414790.jpg.chip.jpg,10,0,0,08-Dec
66,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225417177.jpg.chip.jpg,10_0_0_20170110225417177.jpg.chip.jpg,10,0,0,08-Dec
67,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225421531.jpg.chip.jpg,10_0_0_20170110225421531.jpg.chip.jpg,10,0,0,08-Dec
68,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225442428.jpg.chip.jpg,10_0_0_20170110225442428.jpg.chip.jpg,10,0,0,08-Dec
69,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225444491.jpg.chip.jpg,10_0_0_20170110225444491.jpg.chip.jpg,10,0,0,08-Dec
70,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225451638.jpg.chip.jpg,10_0_0_20170110225451638.jpg.chip.jpg,10,0,0,08-Dec
71,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225502403.jpg.chip.jpg,10_0_0_20170110225502403.jpg.chip.jpg,10,0,0,08-Dec
72,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225505288.jpg.chip.jpg,10_0_0_20170110225505288.jpg.chip.jpg,10,0,0,08-Dec
73,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225518663.jpg.chip.jpg,10_0_0_20170110225518663.jpg.chip.jpg,10,0,0,08-Dec
74,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225528484.jpg.chip.jpg,10_0_0_20170110225528484.jpg.chip.jpg,10,0,0,08-Dec
75,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225537307.jpg.chip.jpg,10_0_0_20170110225537307.jpg.chip.jpg,10,0,0,08-Dec
76,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225546130.jpg.chip.jpg,10_0_0_20170110225546130.jpg.chip.jpg,10,0,0,08-Dec
77,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225557604.jpg.chip.jpg,10_0_0_20170110225557604.jpg.chip.jpg,10,0,0,08-Dec
78,C:\Users\henok\data\data\UTKFace\10_0_0_20170110225601897.jpg.chip.jpg,10_0_0_20170110225601897.jpg.chip.jpg,10,0,0,08-Dec
79,C:\Users\henok\data\data\UTKFace\10_0_0_20170116201102149.jpg.chip.jpg,10_0_0_20170116201102149.jpg.chip.jpg,10,0,0,08-Dec
80,C:\Users\henok\data\data\UTKFace\10_0_0_20170116201328751.jpg.chip.jpg,10_0_0_20170116201328751.jpg.chip.jpg,10,0,0,08-Dec
81,C:\Users\henok\data\data\UTKFace\10_0_0_20170116201337172.jpg.chip.jpg,10_0_0_20170116201337172.jpg.chip.jpg,10,0,0,08-Dec
82,C:\Users\henok\data\data\UTKFace\10_0_0_20170117135444407.jpg.chip.jpg,10_0_0_20170117135444407.jpg.chip.jpg,10,0,0,08-Dec
83,C:\Users\henok\data\data\UTKFace\10_0_0_20170117143048181.jpg.chip.jpg,10_0_0_20170117143048181.jpg.chip.jpg,10,0,0,08-Dec
84,C:\Users\henok\data\data\UTKFace\10_0_0_20170117175625724.jpg.chip.jpg,10_0_0_20170117175625724.jpg.chip.jpg,10,0,0,08-Dec
85,C:\Users\henok\data\data\UTKFace\10_0_0_20170120220628194.jpg.chip.jpg,10_0_0_20170120220628194.jpg.chip.jpg,10,0,0,08-Dec
86,C:\Users\henok\data\data\UTKFace\10_0_1_20170104010841239.jpg.chip.jpg,10_0_1_20170104010841239.jpg.chip.jpg,10,0,1,08-Dec
87,C:\Users\henok\data\data\UTKFace\10_0_1_20170110220507258.jpg.chip.jpg,10_0_1_20170110220507258.jpg.chip.jpg,10,0,1,08-Dec
88,C:\Users\henok\data\data\UTKFace\10_0_1_20170110220523360.jpg.chip.jpg,10_0_1_20170110220523360.jpg.chip.jpg,10,0,1,08-Dec
89,C:\Users\henok\data\data\UTKFace\10_0_1_20170110223455893.jpg.chip.jpg,10_0_1_20170110223455893.jpg.chip.jpg,10,0,1,08-Dec
90,C:\Users\henok\data\data\UTKFace\10_0_1_20170110223848885.jpg.chip.jpg,10_0_1_20170110223848885.jpg.chip.jpg,10,0,1,08-Dec
91,C:\Users\henok\data\data\UTKFace\10_0_1_20170110225121326.jpg.chip.jpg,10_0_1_20170110225121326.jpg.chip.jpg,10,0,1,08-Dec
92,C:\Users\henok\data\data\UTKFace\10_0_1_20170110225339066.jpg.chip.jpg,10_0_1_20170110225339066.jpg.chip.jpg,10,0,1,08-Dec
93,C:\Users\henok\data\data\UTKFace\10_0_1_20170116225209209.jpg.chip.jpg,10_0_1_20170116225209209.jpg.chip.jpg,10,0,1,08-Dec
94,C:\Users\henok\data\data\UTKFace\10_0_2_20170110224230094.jpg.chip.jpg,10_0_2_20170110224230094.jpg.chip.jpg,10,0,2,08-Dec
95,C:\Users\henok\data\data\UTKFace\10_0_2_20170116162109013.jpg.chip.jpg,10_0_2_20170116162109013.jpg.chip.jpg,10,0,2,08-Dec
96,C:\Users\henok\data\data\UTKFace\10_0_3_20161220215952636.jpg.chip.jpg,10_0_3_20161220215952636.jpg.chip.jpg,10,0,3,08-Dec
97,C:\Users\henok\data\data\UTKFace\10_0_3_20170104225233504.jpg.chip.jpg,10_0_3_20170104225233504.jpg.chip.jpg,10,0,3,08-Dec
98,C:\Users\henok\data\data\UTKFace\10_0_3_20170104225238736.jpg.chip.jpg,10_0_3_20170104225238736.jpg.chip.jpg,10,0,3,08-Dec
99,C:\Users\henok\data\data\UTKFace\10_0_3_20170105175322885.jpg.chip.jpg,10_0_3_20170105175322885.jpg.chip.jpg,10,0,3,08-Dec
100,C:\Users\henok\data\data\UTKFace\10_0_4_20161221192738446.jpg.chip.jpg,10_0_4_20161221192738446.jpg.chip.jpg,10,0,4,08-Dec
101,C:\Users\henok\data\data\UTKFace\10_0_4_20170103200335831.jpg.chip.jpg,10_0_4_20170103200335831.jpg.chip.jpg,10,0,4,08-Dec
102,C:\Users\henok\data\data\UTKFace\10_0_4_20170103200409638.jpg.chip.jpg,10_0_4_20170103200409638.jpg.chip.jpg,10,0,4,08-Dec
103,C:\Users\henok\data\data\UTKFace\10_0_4_20170103200443015.jpg.chip.jpg,10_0_4_20170103200443015.jpg.chip.jpg,10,0,4,08-Dec
104,C:\Users\henok\data\data\UTKFace\10_0_4_20170103200501766.jpg.chip.jpg,10_0_4_20170103200501766.jpg.chip.jpg,10,0,4,08-Dec
105,C:\Users\henok\data\data\UTKFace\10_0_4_20170103201924664.jpg.chip.jpg,10_0_4_20170103201924664.jpg.chip.jpg,10,0,4,08-Dec
106,C:\Users\henok\data\data\UTKFace\10_0_4_20170103202338152.jpg.chip.jpg,10_0_4_20170103202338152.jpg.chip.jpg,10,0,4,08-Dec
107,C:\Users\henok\data\data\UTKFace\10_0_4_20170103212521420.jpg.chip.jpg,10_0_4_20170103212521420.jpg.chip.jpg,10,0,4,08-Dec
108,C:\Users\henok\data\data\UTKFace\10_0_4_20170103223451479.jpg.chip.jpg,10_0_4_20170103223451479.jpg.chip.jpg,10,0,4,08-Dec
109,C:\Users\henok\data\data\UTKFace\10_0_4_20170104010810728.jpg.chip.jpg,10_0_4_20170104010810728.jpg.chip.jpg,10,0,4,08-Dec
110,C:\Users\henok\data\data\UTKFace\10_1_0_20161220222001459.jpg.chip.jpg,10_1_0_20161220222001459.jpg.chip.jpg,10,1,0,08-Dec
111,C:\Users\henok\data\data\UTKFace\10_1_0_20170103175323250.jpg.chip.jpg,10_1_0_20170103175323250.jpg.chip.jpg,10,1,0,08-Dec
112,C:\Users\henok\data\data\UTKFace\10_1_0_20170103200654246.jpg.chip.jpg,10_1_0_20170103200654246.jpg.chip.jpg,10,1,0,08-Dec
113,C:\Users\henok\data\data\UTKFace\10_1_0_20170109201728056.jpg.chip.jpg,10_1_0_20170109201728056.jpg.chip.jpg,10,1,0,08-Dec
114,C:\Users\henok\data\data\UTKFace\10_1_0_20170109202251032.jpg.chip.jpg,10_1_0_20170109202251032.jpg.chip.jpg,10,1,0,08-Dec
115,C:\Users\henok\data\data\UTKFace\10_1_0_20170109202346880.jpg.chip.jpg,10_1_0_20170109202346880.jpg.chip.jpg,10,1,0,08-Dec
116,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203218966.jpg.chip.jpg,10_1_0_20170109203218966.jpg.chip.jpg,10,1,0,08-Dec
117,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203245653.jpg.chip.jpg,10_1_0_20170109203245653.jpg.chip.jpg,10,1,0,08-Dec
118,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203357787.jpg.chip.jpg,10_1_0_20170109203357787.jpg.chip.jpg,10,1,0,08-Dec
119,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203427416.jpg.chip.jpg,10_1_0_20170109203427416.jpg.chip.jpg,10,1,0,08-Dec
120,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203438428.jpg.chip.jpg,10_1_0_20170109203438428.jpg.chip.jpg,10,1,0,08-Dec
121,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203501969.jpg.chip.jpg,10_1_0_20170109203501969.jpg.chip.jpg,10,1,0,08-Dec
122,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203512075.jpg.chip.jpg,10_1_0_20170109203512075.jpg.chip.jpg,10,1,0,08-Dec
123,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203556029.jpg.chip.jpg,10_1_0_20170109203556029.jpg.chip.jpg,10,1,0,08-Dec
124,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203608654.jpg.chip.jpg,10_1_0_20170109203608654.jpg.chip.jpg,10,1,0,08-Dec
125,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203642966.jpg.chip.jpg,10_1_0_20170109203642966.jpg.chip.jpg,10,1,0,08-Dec
126,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203653735.jpg.chip.jpg,10_1_0_20170109203653735.jpg.chip.jpg,10,1,0,08-Dec
127,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203759972.jpg.chip.jpg,10_1_0_20170109203759972.jpg.chip.jpg,10,1,0,08-Dec
128,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203905538.jpg.chip.jpg,10_1_0_20170109203905538.jpg.chip.jpg,10,1,0,08-Dec
129,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203917216.jpg.chip.jpg,10_1_0_20170109203917216.jpg.chip.jpg,10,1,0,08-Dec
130,C:\Users\henok\data\data\UTKFace\10_1_0_20170109203924076.jpg.chip.jpg,10_1_0_20170109203924076.jpg.chip.jpg,10,1,0,08-Dec
131,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204148144.jpg.chip.jpg,10_1_0_20170109204148144.jpg.chip.jpg,10,1,0,08-Dec
132,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204244904.jpg.chip.jpg,10_1_0_20170109204244904.jpg.chip.jpg,10,1,0,08-Dec
133,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204255055.jpg.chip.jpg,10_1_0_20170109204255055.jpg.chip.jpg,10,1,0,08-Dec
134,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204259563.jpg.chip.jpg,10_1_0_20170109204259563.jpg.chip.jpg,10,1,0,08-Dec
135,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204338404.jpg.chip.jpg,10_1_0_20170109204338404.jpg.chip.jpg,10,1,0,08-Dec
136,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204422889.jpg.chip.jpg,10_1_0_20170109204422889.jpg.chip.jpg,10,1,0,08-Dec
137,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204435809.jpg.chip.jpg,10_1_0_20170109204435809.jpg.chip.jpg,10,1,0,08-Dec
138,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204502951.jpg.chip.jpg,10_1_0_20170109204502951.jpg.chip.jpg,10,1,0,08-Dec
139,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204617417.jpg.chip.jpg,10_1_0_20170109204617417.jpg.chip.jpg,10,1,0,08-Dec
140,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204746535.jpg.chip.jpg,10_1_0_20170109204746535.jpg.chip.jpg,10,1,0,08-Dec
141,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204844109.jpg.chip.jpg,10_1_0_20170109204844109.jpg.chip.jpg,10,1,0,08-Dec
142,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204859493.jpg.chip.jpg,10_1_0_20170109204859493.jpg.chip.jpg,10,1,0,08-Dec
143,C:\Users\henok\data\data\UTKFace\10_1_0_20170109204931156.jpg.chip.jpg,10_1_0_20170109204931156.jpg.chip.jpg,10,1,0,08-Dec
144,C:\Users\henok\data\data\UTKFace\10_1_0_20170109205003280.jpg.chip.jpg,10_1_0_20170109205003280.jpg.chip.jpg,10,1,0,08-Dec
145,C:\Users\henok\data\data\UTKFace\10_1_0_20170109205134282.jpg.chip.jpg,10_1_0_20170109205134282.jpg.chip.jpg,10,1,0,08-Dec
146,C:\Users\henok\data\data\UTKFace\10_1_0_20170109205141310.jpg.chip.jpg,10_1_0_20170109205141310.jpg.chip.jpg,10,1,0,08-Dec
147,C:\Users\henok\data\data\UTKFace\10_1_0_20170109205208368.jpg.chip.jpg,10_1_0_20170109205208368.jpg.chip.jpg,10,1,0,08-Dec
148,C:\Users\henok\data\data\UTKFace\10_1_0_20170110220649364.jpg.chip.jpg,10_1_0_20170110220649364.jpg.chip.jpg,10,1,0,08-Dec
149,C:\Users\henok\data\data\UTKFace\10_1_1_20170109202938302.jpg.chip.jpg,10_1_1_20170109202938302.jpg.chip.jpg,10,1,1,08-Dec
150,C:\Users\henok\data\data\UTKFace\10_1_1_20170109203348828.jpg.chip.jpg,10_1_1_20170109203348828.jpg.chip.jpg,10,1,1,08-Dec
151,C:\Users\henok\data\data\UTKFace\10_1_1_20170109203520178.jpg.chip.jpg,10_1_1_20170109203520178.jpg.chip.jpg,10,1,1,08-Dec
152,C:\Users\henok\data\data\UTKFace\10_1_1_20170109203522559.jpg.chip.jpg,10_1_1_20170109203522559.jpg.chip.jpg,10,1,1,08-Dec
153,C:\Users\henok\data\data\UTKFace\10_1_1_20170109204636561.jpg.chip.jpg,10_1_1_20170109204636561.jpg.chip.jpg,10,1,1,08-Dec
154,C:\Users\henok\data\data\UTKFace\10_1_1_20170110225155603.jpg.chip.jpg,10_1_1_20170110225155603.jpg.chip.jpg,10,1,1,08-Dec
155,C:\Users\henok\data\data\UTKFace\10_1_1_20170116225209209.jpg.chip.jpg,10_1_1_20170116225209209.jpg.chip.jpg,10,1,1,08-Dec
156,C:\Users\henok\data\data\UTKFace\10_1_1_20170117134313205.jpg.chip.jpg,10_1_1_20170117134313205.jpg.chip.jpg,10,1,1,08-Dec
157,C:\Users\henok\data\data\UTKFace\10_1_2_20170103201007646.jpg.chip.jpg,10_1_2_20170103201007646.jpg.chip.jpg,10,1,2,08-Dec
158,C:\Users\henok\data\data\UTKFace\10_1_2_20170104005417671.jpg.chip.jpg,10_1_2_20170104005417671.jpg.chip.jpg,10,1,2,08-Dec
159,C:\Users\henok\data\data\UTKFace\10_1_2_20170109201545634.jpg.chip.jpg,10_1_2_20170109201545634.jpg.chip.jpg,10,1,2,08-Dec
160,C:\Users\henok\data\data\UTKFace\10_1_2_20170109205037024.jpg.chip.jpg,10_1_2_20170109205037024.jpg.chip.jpg,10,1,2,08-Dec
161,C:\Users\henok\data\data\UTKFace\10_1_2_20170116175840105.jpg.chip.jpg,10_1_2_20170116175840105.jpg.chip.jpg,10,1,2,08-Dec
162,C:\Users\henok\data\data\UTKFace\10_1_3_20170104221633430.jpg.chip.jpg,10_1_3_20170104221633430.jpg.chip.jpg,10,1,3,08-Dec
163,C:\Users\henok\data\data\UTKFace\10_1_3_20170104221645430.jpg.chip.jpg,10_1_3_20170104221645430.jpg.chip.jpg,10,1,3,08-Dec
164,C:\Users\henok\data\data\UTKFace\10_1_3_20170104221711437.jpg.chip.jpg,10_1_3_20170104221711437.jpg.chip.jpg,10,1,3,08-Dec
165,C:\Users\henok\data\data\UTKFace\10_1_3_20170109203848078.jpg.chip.jpg,10_1_3_20170109203848078.jpg.chip.jpg,10,1,3,08-Dec
166,C:\Users\henok\data\data\UTKFace\10_1_3_20170109205323078.jpg.chip.jpg,10_1_3_20170109205323078.jpg.chip.jpg,10,1,3,08-Dec
167,C:\Users\henok\data\data\UTKFace\10_1_3_20170112211048149.jpg.chip.jpg,10_1_3_20170112211048149.jpg.chip.jpg,10,1,3,08-Dec
168,C:\Users\henok\data\data\UTKFace\10_1_3_20170117144247699.jpg.chip.jpg,10_1_3_20170117144247699.jpg.chip.jpg,10,1,3,08-Dec
169,C:\Users\henok\data\data\UTKFace\10_1_3_20170119150820222.jpg.chip.jpg,10_1_3_20170119150820222.jpg.chip.jpg,10,1,3,08-Dec
170,C:\Users\henok\data\data\UTKFace\10_1_4_20161223225854867.jpg.chip.jpg,10_1_4_20161223225854867.jpg.chip.jpg,10,1,4,08-Dec
171,C:\Users\henok\data\data\UTKFace\10_1_4_20161223225900460.jpg.chip.jpg,10_1_4_20161223225900460.jpg.chip.jpg,10,1,4,08-Dec
